OBJECTID,VALUE,long,lat,X,Y
10540,226672,-122.3783171,47.67144009,-122.3783171,47.67144009
10541,226672,-122.3783171,47.67144009,-122.3783171,47.67144009
10542,162802,-122.3783587,47.67282114,-122.3783587,47.67282114
10543,0,-122.3783896,47.67331992,-122.3783896,47.67331992
10544,0,-122.3783896,47.67331992,-122.3783896,47.67331992
10545,18021093,-122.3164989,47.6160439,-122.3164989,47.6160439
10546,60000,-122.2762441,47.63382886,-122.2762441,47.63382886
10547,18612000,-122.3203878,47.61591498,-122.3203878,47.61591498
10548,358456,-122.3469318,47.63371796,-122.3469318,47.63371796
10549,0,-122.3469318,47.63371796,-122.3469318,47.63371796
10550,280820,-122.3105099,47.60452545,-122.3105099,47.60452545
10551,50000,-122.3110606,47.58119015,-122.3110606,47.58119014
10552,209876,-122.3145601,47.61590344,-122.3145601,47.61590344
10553,0,-122.3145601,47.61590344,-122.3145601,47.61590344
10554,220267,-122.3779344,47.67280209,-122.3779344,47.67280209
10555,150859,-122.3778964,47.67581768,-122.3778964,47.67581768
10556,217144,-122.3103273,47.5888661,-122.3103273,47.5888661
10557,198484,-122.3081727,47.58882313,-122.3081727,47.58882313
10558,945643,-122.304967,47.58855976,-122.304967,47.58855976
10559,294538,-122.3108926,47.70706597,-122.3108926,47.70706597
10560,0,-122.3780098,47.67191584,-122.3780098,47.67191584
10561,384832,-122.3165066,47.58870157,-122.3165066,47.58870157
10562,0,-122.3151653,47.58879583,-122.3151653,47.58879583
10563,943918,-122.3151653,47.58879583,-122.3151653,47.58879583
10564,90799,-122.3108363,47.70829872,-122.3108363,47.70829872
10565,0,-122.3779435,47.67286983,-122.3779435,47.67286983
10566,435812,-122.3779435,47.67286983,-122.3779435,47.67286983
10567,150859,-122.3778914,47.67569389,-122.3778914,47.67569389
10568,183161,-122.3780213,47.67440526,-122.3780213,47.67440526
10569,307598,-122.3090009,47.58886376,-122.3090009,47.58886376
10570,0,-122.3253218,47.63340989,-122.3253218,47.63340989
10571,1,-122.3253218,47.63340989,-122.3253218,47.63340989
10572,285418,-122.3111805,47.5888678,-122.3111805,47.5888678
10573,151294,-122.377975,47.67176613,-122.377975,47.67176613
10574,89323,-122.3780754,47.67324206,-122.3780754,47.67324206
10575,402377,-122.3781556,47.67413035,-122.3781556,47.67413035
10576,0,-122.3099028,47.5888244,-122.3099028,47.5888244
10577,746652,-122.3099028,47.5888244,-122.3099028,47.5888244
10578,0,-122.3076666,47.58853746,-122.3076666,47.58853746
